Experiment Name, Loop Nest Count,Loop Nest Depth,Memory Footprint,Data Dimensionality,View Count,Constraint Count,Access Count,Component,Execution Time
Loop Count,1,3,30000,2,1,0,1,Cost Estimation,14432
Loop Count,1,3,30000,2,1,0,1,ISL Setup,9689
Loop Count,1,3,30000,2,1,0,1,ISL Solve,999
Loop Count,2,3,30000,2,1,0,1,Cost Estimation,14745
Loop Count,2,3,30000,2,1,0,1,ISL Setup,14604
Loop Count,2,3,30000,2,1,0,1,ISL Solve,2115
Loop Count,3,3,30000,2,1,0,1,Cost Estimation,14743
Loop Count,3,3,30000,2,1,0,1,ISL Setup,19610
Loop Count,3,3,30000,2,1,0,1,ISL Solve,3555
Loop Count,4,3,30000,2,1,0,1,Cost Estimation,17225
Loop Count,4,3,30000,2,1,0,1,ISL Setup,26349
Loop Count,4,3,30000,2,1,0,1,ISL Solve,5091
Loop Count,5,3,30000,2,1,0,1,Cost Estimation,15739
Loop Count,5,3,30000,2,1,0,1,ISL Setup,35974
Loop Count,5,3,30000,2,1,0,1,ISL Solve,7172
Loop Count,6,3,30000,2,1,0,1,Cost Estimation,15901
Loop Count,6,3,30000,2,1,0,1,ISL Setup,46056
Loop Count,6,3,30000,2,1,0,1,ISL Solve,9548
Loop Count,7,3,30000,2,1,0,1,Cost Estimation,8779
Loop Count,7,3,30000,2,1,0,1,ISL Setup,57999
Loop Count,7,3,30000,2,1,0,1,ISL Solve,12297
Loop Count,8,3,30000,2,1,0,1,Cost Estimation,6600
Loop Count,8,3,30000,2,1,0,1,ISL Setup,72051
Loop Count,8,3,30000,2,1,0,1,ISL Solve,23049
Nest Depth,3,2,30000,2,1,0,1,Cost Estimation,5718
Nest Depth,3,2,30000,2,1,0,1,ISL Setup,19065
Nest Depth,3,2,30000,2,1,0,1,ISL Solve,3492
Nest Depth,3,3,30000,2,1,0,1,Cost Estimation,5717
Nest Depth,3,3,30000,2,1,0,1,ISL Setup,19061
Nest Depth,3,3,30000,2,1,0,1,ISL Solve,3508
Nest Depth,3,4,30000,2,1,0,1,Cost Estimation,5705
Nest Depth,3,4,30000,2,1,0,1,ISL Setup,19121
