Experiment,Dimensionality,Problem Size,Views,Constraints,Loops,Component,Time (microseconds)
View Count,2,10000,1,0,3,Computation,22459
View Count,2,10000,1,0,3,Conversion,14409
View Count,2,10000,1,0,3,Cost Estimation,24567
View Count,2,10000,1,0,3,ISL Space,5109
View Count,2,10000,1,0,3,ISL Func,1156
View Count,2,10000,1,0,3,ISL Solve,1490
View Count,2,10000,2,0,3,Computation,26625
View Count,2,10000,2,0,3,Conversion,26011
View Count,2,10000,2,0,3,Cost Estimation,18550
View Count,2,10000,2,0,3,ISL Space,7125
View Count,2,10000,2,0,3,ISL Func,2226
View Count,2,10000,2,0,3,ISL Solve,2717
View Count,2,10000,3,0,3,Computation,21293
View Count,2,10000,3,0,3,Conversion,40506
View Count,2,10000,3,0,3,Cost Estimation,19069
View Count,2,10000,3,0,3,ISL Space,10406
View Count,2,10000,3,0,3,ISL Func,3380
View Count,2,10000,3,0,3,ISL Solve,4147
View Count,2,10000,4,0,3,Computation,21450
View Count,2,10000,4,0,3,Conversion,55075
View Count,2,10000,4,0,3,Cost Estimation,15557
View Count,2,10000,4,0,3,ISL Space,14163
View Count,2,10000,4,0,3,ISL Func,4506
View Count,2,10000,4,0,3,ISL Solve,5448
Constraint Count,2,10000,1,0,3,Computation,23221
Constraint Count,2,10000,1,0,3,Conversion,25667
Constraint Count,2,10000,1,0,3,Cost Estimation,14849
Constraint Count,2,10000,1,0,3,ISL Space,5057
Constraint Count,2,10000,1,0,3,ISL Func,1580
Constraint Count,2,10000,1,0,3,ISL Solve,2646
Constraint Count,2,10000,1,1,3,Computation,1384
Constraint Count,2,10000,1,1,3,Conversion,397
Constraint Count,2,10000,1,1,3,Cost Estimation,7722
Constraint Count,2,10000,1,1,3,ISL Space,4193
Constraint Count,2,10000,1,1,3,ISL Func,1576
Constraint Count,2,10000,1,1,3,ISL Solve,1601
Constraint Count,2,10000,1,2,3,Computation,1386
Constraint Count,2,10000,1,2,3,Conversion,383
Constraint Count,2,10000,1,2,3,Cost Estimation,4125
Constraint Count,2,10000,1,2,3,ISL Space,4201
Constraint Count,2,10000,1,2,3,ISL Func,1579
Constraint Count,2,10000,1,2,3,ISL Solve,1036
Constraint Count,2,10000,1,3,3,Computation,1358
Constraint Count,2,10000,1,3,3,Conversion,1095
Constraint Count,2,10000,1,3,3,Cost Estimation,4128
Constraint Count,2,10000,1,3,3,ISL Space,4192
Constraint Count,2,10000,1,3,3,ISL Func,1582
Constraint Count,2,10000,1,3,3,ISL Solve,708
Constraint Count,2,10000,1,4,3,Computation,1747
Constraint Count,2,10000,1,4,3,Conversion,1029
Constraint Count,2,10000,1,4,3,Cost Estimation,4118
Constraint Count,2,10000,1,4,3,ISL Space,4187
Constraint Count,2,10000,1,4,3,ISL Func,1577
Constraint Count,2,10000,1,4,3,ISL Solve,492
Loop Count,2,10000,1,0,2,Computation,718
Loop Count,2,10000,1,0,2,Conversion,193
Loop Count,2,10000,1,0,2,Cost Estimation,3464
Loop Count,2,10000,1,0,2,ISL Space,3006
Loop Count,2,10000,1,0,2,ISL Func,895
Loop Count,2,10000,1,0,2,ISL Solve,713
Loop Count,2,10000,1,0,3,Computation,1148
Loop Count,2,10000,1,0,3,Conversion,528
Loop Count,2,10000,1,0,3,Cost Estimation,3742
Loop Count,2,10000,1,0,3,ISL Space,3551
Loop Count,2,10000,1,0,3,ISL Func,1223
Loop Count,2,10000,1,0,3,ISL Solve,1368
Loop Count,2,10000,1,0,4,Computation,1459
Loop Count,2,10000,1,0,4,Conversion,406
Loop Count,2,10000,1,0,4,Cost Estimation,4264
Loop Count,2,10000,1,0,4,ISL Space,4145
Loop Count,2,10000,1,0,4,ISL Func,1565
Loop Count,2,10000,1,0,4,ISL Solve,2639
