Experiment Name, Loop Nest Count,Loop Nest Depth,Memory Footprint,Data Dimensionality,View Count,Constraint Count,Access Count,Component,Execution Time
Loop Count,1,3,30000,2,1,0,1,Cost Estimation,2721
Loop Count,1,3,30000,2,1,0,1,ISL Setup,2034
Loop Count,1,3,30000,2,1,0,1,ISL Solve,165
Loop Count,2,3,30000,2,1,0,1,Cost Estimation,3059
Loop Count,2,3,30000,2,1,0,1,ISL Setup,2987
Loop Count,2,3,30000,2,1,0,1,ISL Solve,417
Loop Count,3,3,30000,2,1,0,1,Cost Estimation,3243
Loop Count,3,3,30000,2,1,0,1,ISL Setup,4118
Loop Count,3,3,30000,2,1,0,1,ISL Solve,717
Loop Count,4,3,30000,2,1,0,1,Cost Estimation,3906
Loop Count,4,3,30000,2,1,0,1,ISL Setup,5168
Loop Count,4,3,30000,2,1,0,1,ISL Solve,1362
Loop Count,5,3,30000,2,1,0,1,Cost Estimation,3728
Loop Count,5,3,30000,2,1,0,1,ISL Setup,6458
Loop Count,5,3,30000,2,1,0,1,ISL Solve,2651
Loop Count,6,3,30000,2,1,0,1,Cost Estimation,3851
Loop Count,6,3,30000,2,1,0,1,ISL Setup,7613
Loop Count,6,3,30000,2,1,0,1,ISL Solve,5318
Loop Count,7,3,30000,2,1,0,1,Cost Estimation,4153
Loop Count,7,3,30000,2,1,0,1,ISL Setup,9126
Loop Count,7,3,30000,2,1,0,1,ISL Solve,10909
Loop Count,8,3,30000,2,1,0,1,Cost Estimation,4424
Loop Count,8,3,30000,2,1,0,1,ISL Setup,10613
Loop Count,8,3,30000,2,1,0,1,ISL Solve,22993
Nest Depth,3,2,30000,2,1,0,1,Cost Estimation,3204
Nest Depth,3,2,30000,2,1,0,1,ISL Setup,4016
Nest Depth,3,2,30000,2,1,0,1,ISL Solve,716
Nest Depth,3,3,30000,2,1,0,1,Cost Estimation,3224
Nest Depth,3,3,30000,2,1,0,1,ISL Setup,4039
Nest Depth,3,3,30000,2,1,0,1,ISL Solve,720
Nest Depth,3,4,30000,2,1,0,1,Cost Estimation,3268
Nest Depth,3,4,30000,2,1,0,1,ISL Setup,4042
Nest Depth,3,4,30000,2,1,0,1,ISL Solve,713
Footprint,3,2,175692,2,1,0,1,Cost Estimation,3266
Footprint,3,2,175692,2,1,0,1,ISL Setup,4069
Footprint,3,2,175692,2,1,0,1,ISL Solve,724
Footprint,3,2,350892,2,1,0,1,Cost Estimation,3208
Footprint,3,2,350892,2,1,0,1,ISL Setup,4031
Footprint,3,2,350892,2,1,0,1,ISL Solve,717
Footprint,3,2,702768,2,1,0,1,Cost Estimation,3299
Footprint,3,2,702768,2,1,0,1,ISL Setup,4059
Footprint,3,2,702768,2,1,0,1,ISL Solve,717
Footprint,3,2,4219788,2,1,0,1,Cost Estimation,3291
Footprint,3,2,4219788,2,1,0,1,ISL Setup,4066
Footprint,3,2,4219788,2,1,0,1,ISL Solve,729
Footprint,3,2,8447052,2,1,0,1,Cost Estimation,3463
