Experiment,Dimensionality,Problem Size,Views,Constraints,Variant,Component,Time (microseconds)
1,2,32768,3,BestAnalytical,BaseRAJA,Computation,4831
1,2,32768,3,BestAnalytical,HandTransformed,Computation,4461
1,2,32768,3,BestAnalytical,HandTransformed,Conversion,688
1,2,32768,3,BestAnalytical,Experiment1,Computation,4349
1,2,32768,3,BestAnalytical,Experiment1,Conversion,694
1,2,32768,3,BestAnalytical,Experiment1,Cost Estimation,302
1,2,32768,3,BestAnalytical,Experiment1,ISL Space,3343
1,2,32768,3,BestAnalytical,Experiment1,ISL Func,1139
1,2,32768,3,BestAnalytical,Experiment1,ISL Solve,866
1,2,32768,3,BestAnalytical,BaseRAJA,Computation,5332
1,2,32768,3,BestAnalytical,HandTransformed,Computation,5320
1,2,32768,3,BestAnalytical,HandTransformed,Conversion,950
1,2,32768,3,BestAnalytical,Experiment1,Computation,6332
1,2,32768,3,BestAnalytical,Experiment1,Conversion,973
1,2,32768,3,BestAnalytical,Experiment1,Cost Estimation,530
1,2,32768,3,BestAnalytical,Experiment1,ISL Space,3761
1,2,32768,3,BestAnalytical,Experiment1,ISL Func,1239
1,2,32768,3,BestAnalytical,Experiment1,ISL Solve,905
1,2,32768,3,BestAnalytical,BaseRAJA,Computation,5057
1,2,32768,3,BestAnalytical,HandTransformed,Computation,4333
1,2,32768,3,BestAnalytical,HandTransformed,Conversion,515
1,2,32768,3,BestAnalytical,Experiment1,Computation,4422
1,2,32768,3,BestAnalytical,Experiment1,Conversion,733
1,2,32768,3,BestAnalytical,Experiment1,Cost Estimation,326
1,2,32768,3,BestAnalytical,Experiment1,ISL Space,3609
1,2,32768,3,BestAnalytical,Experiment1,ISL Func,1235
1,2,32768,3,BestAnalytical,Experiment1,ISL Solve,933
1,2,65536,3,BestAnalytical,BaseRAJA,Computation,12297
1,2,65536,3,BestAnalytical,HandTransformed,Computation,11603
1,2,65536,3,BestAnalytical,HandTransformed,Conversion,1150
1,2,65536,3,BestAnalytical,Experiment1,Computation,11860
1,2,65536,3,BestAnalytical,Experiment1,Conversion,698
1,2,65536,3,BestAnalytical,Experiment1,Cost Estimation,308
1,2,65536,3,BestAnalytical,Experiment1,ISL Space,3426
1,2,65536,3,BestAnalytical,Experiment1,ISL Func,1170
1,2,65536,3,BestAnalytical,Experiment1,ISL Solve,871
1,2,65536,3,BestAnalytical,BaseRAJA,Computation,12762
1,2,65536,3,BestAnalytical,HandTransformed,Computation,11349
1,2,65536,3,BestAnalytical,HandTransformed,Conversion,1249
1,2,65536,3,BestAnalytical,Experiment1,Computation,11769
1,2,65536,3,BestAnalytical,Experiment1,Conversion,964
1,2,65536,3,BestAnalytical,Experiment1,Cost Estimation,334
1,2,65536,3,BestAnalytical,Experiment1,ISL Space,3505
1,2,65536,3,BestAnalytical,Experiment1,ISL Func,1200
1,2,65536,3,BestAnalytical,Experiment1,ISL Solve,886
1,2,65536,3,BestAnalytical,BaseRAJA,Computation,11987
1,2,65536,3,BestAnalytical,HandTransformed,Computation,11416
1,2,65536,3,BestAnalytical,HandTransformed,Conversion,972
1,2,65536,3,BestAnalytical,Experiment1,Computation,11849
1,2,65536,3,BestAnalytical,Experiment1,Conversion,842
1,2,65536,3,BestAnalytical,Experiment1,Cost Estimation,321
1,2,65536,3,BestAnalytical,Experiment1,ISL Space,3512
1,2,65536,3,BestAnalytical,Experiment1,ISL Func,1195
1,2,65536,3,BestAnalytical,Experiment1,ISL Solve,984
1,2,131072,3,BestAnalytical,BaseRAJA,Computation,34628
1,2,131072,3,BestAnalytical,HandTransformed,Computation,32953
1,2,131072,3,BestAnalytical,HandTransformed,Conversion,2002
1,2,131072,3,BestAnalytical,Experiment1,Computation,31103
1,2,131072,3,BestAnalytical,Experiment1,Conversion,925
1,2,131072,3,BestAnalytical,Experiment1,Cost Estimation,326
1,2,131072,3,BestAnalytical,Experiment1,ISL Space,3610
1,2,131072,3,BestAnalytical,Experiment1,ISL Func,1229
1,2,131072,3,BestAnalytical,Experiment1,ISL Solve,911
1,2,131072,3,BestAnalytical,BaseRAJA,Computation,31454
1,2,131072,3,BestAnalytical,HandTransformed,Computation,32616
1,2,131072,3,BestAnalytical,HandTransformed,Conversion,1269
1,2,131072,3,BestAnalytical,Experiment1,Computation,33955
1,2,131072,3,BestAnalytical,Experiment1,Conversion,864
1,2,131072,3,BestAnalytical,Experiment1,Cost Estimation,322
1,2,131072,3,BestAnalytical,Experiment1,ISL Space,3508
1,2,131072,3,BestAnalytical,Experiment1,ISL Func,1202
1,2,131072,3,BestAnalytical,Experiment1,ISL Solve,901
1,2,131072,3,BestAnalytical,BaseRAJA,Computation,34429
1,2,131072,3,BestAnalytical,HandTransformed,Computation,30660
1,2,131072,3,BestAnalytical,HandTransformed,Conversion,1290
1,2,131072,3,BestAnalytical,Experiment1,Computation,31985
1,2,131072,3,BestAnalytical,Experiment1,Conversion,868
1,2,131072,3,BestAnalytical,Experiment1,Cost Estimation,322
1,2,131072,3,BestAnalytical,Experiment1,ISL Space,3477
1,2,131072,3,BestAnalytical,Experiment1,ISL Func,1194
1,2,131072,3,BestAnalytical,Experiment1,ISL Solve,897
1,2,262144,3,BestAnalytical,BaseRAJA,Computation,97494
1,2,262144,3,BestAnalytical,HandTransformed,Computation,83329
1,2,262144,3,BestAnalytical,HandTransformed,Conversion,3453
1,2,262144,3,BestAnalytical,Experiment1,Computation,80164
1,2,262144,3,BestAnalytical,Experiment1,Conversion,2246
1,2,262144,3,BestAnalytical,Experiment1,Cost Estimation,301
1,2,262144,3,BestAnalytical,Experiment1,ISL Space,3406
