Experiment,Dimensionality,Problem Size,Views,Constraints,Variant,Component,Time (microseconds)
1,2,32768,3,BestAnalytical,BaseRAJA,Computation,23895
1,2,32768,3,BestAnalytical,HandTransformed,Computation,12570
1,2,32768,3,BestAnalytical,HandTransformed,Conversion,1892
1,2,32768,3,BestAnalytical,Experiment1,Computation,14841
1,2,32768,3,BestAnalytical,Experiment1,Conversion,4144
1,2,32768,3,BestAnalytical,Experiment1,Cost Estimation,4373
1,2,32768,3,BestAnalytical,Experiment1,ISL Space,65450
1,2,32768,3,BestAnalytical,Experiment1,ISL Func,25639
1,2,32768,3,BestAnalytical,Experiment1,ISL Solve,24882
1,2,32768,3,BestAnalytical,BaseRAJA,Computation,14039
1,2,32768,3,BestAnalytical,HandTransformed,Computation,13555
1,2,32768,3,BestAnalytical,HandTransformed,Conversion,2390
1,2,32768,3,BestAnalytical,Experiment1,Computation,13102
1,2,32768,3,BestAnalytical,Experiment1,Conversion,3746
1,2,32768,3,BestAnalytical,Experiment1,Cost Estimation,3198
1,2,32768,3,BestAnalytical,Experiment1,ISL Space,34083
1,2,32768,3,BestAnalytical,Experiment1,ISL Func,17150
1,2,32768,3,BestAnalytical,Experiment1,ISL Solve,6025
1,2,32768,3,BestAnalytical,BaseRAJA,Computation,9857
1,2,32768,3,BestAnalytical,HandTransformed,Computation,10306
1,2,32768,3,BestAnalytical,HandTransformed,Conversion,3410
1,2,32768,3,BestAnalytical,Experiment1,Computation,7713
1,2,32768,3,BestAnalytical,Experiment1,Conversion,3910
1,2,32768,3,BestAnalytical,Experiment1,Cost Estimation,3104
1,2,32768,3,BestAnalytical,Experiment1,ISL Space,22831
1,2,32768,3,BestAnalytical,Experiment1,ISL Func,7831
1,2,32768,3,BestAnalytical,Experiment1,ISL Solve,5832
1,2,65536,3,BestAnalytical,BaseRAJA,Computation,24513
1,2,65536,3,BestAnalytical,HandTransformed,Computation,17037
1,2,65536,3,BestAnalytical,HandTransformed,Conversion,3227
1,2,65536,3,BestAnalytical,Experiment1,Computation,17755
1,2,65536,3,BestAnalytical,Experiment1,Conversion,3038
1,2,65536,3,BestAnalytical,Experiment1,Cost Estimation,3174
1,2,65536,3,BestAnalytical,Experiment1,ISL Space,22702
1,2,65536,3,BestAnalytical,Experiment1,ISL Func,7774
1,2,65536,3,BestAnalytical,Experiment1,ISL Solve,5828
1,2,65536,3,BestAnalytical,BaseRAJA,Computation,16470
1,2,65536,3,BestAnalytical,HandTransformed,Computation,13709
1,2,65536,3,BestAnalytical,HandTransformed,Conversion,2901
1,2,65536,3,BestAnalytical,Experiment1,Computation,13455
1,2,65536,3,BestAnalytical,Experiment1,Conversion,2652
1,2,65536,3,BestAnalytical,Experiment1,Cost Estimation,4333
1,2,65536,3,BestAnalytical,Experiment1,ISL Space,34072
1,2,65536,3,BestAnalytical,Experiment1,ISL Func,11459
1,2,65536,3,BestAnalytical,Experiment1,ISL Solve,8300
1,2,65536,3,BestAnalytical,BaseRAJA,Computation,15270
1,2,65536,3,BestAnalytical,HandTransformed,Computation,13167
1,2,65536,3,BestAnalytical,HandTransformed,Conversion,2660
1,2,65536,3,BestAnalytical,Experiment1,Computation,13386
1,2,65536,3,BestAnalytical,Experiment1,Conversion,2784
1,2,65536,3,BestAnalytical,Experiment1,Cost Estimation,4218
1,2,65536,3,BestAnalytical,Experiment1,ISL Space,33954
1,2,65536,3,BestAnalytical,Experiment1,ISL Func,11441
